id;nombre;sembrado;fecha_plantado;fecha_cosecha;producto;tamano
1;Somalia;true;2020-11-05T20:48:36;2020-11-05T11:36:54;lime Soft Stravenue;26383
2;Stream payment Avon;true;2020-11-05T17:21:54;2020-11-05T02:47:34;Investment Account capacitor;61368
3;Denmark;true;2020-11-05T06:07:08;2020-11-05T11:22:07;Strategist Car;67224
4;scale;false;2020-11-05T22:49:23;2020-11-05T05:33:56;Garden;73164
5;functionalities;true;2020-11-05T10:00:07;2020-11-05T19:11:55;innovative;37113
6;white New Mexico;false;2020-11-05T09:08:02;2020-11-05T09:24:22;Quetzal;12591
7;Ameliorated interface Uganda Shilling;true;2020-11-05T07:59:15;2020-11-05T21:43:50;Keyboard;86861
8;Integration Bedfordshire;true;2020-11-05T16:47:13;2020-11-05T09:16:42;Operations Curve Afghani;15938
9;Bedfordshire;false;2020-11-05T08:22:22;2020-11-05T02:02:41;Small Wooden Mouse capability Berkshire;95138
10;Generic Cotton Salad Car sky blue;false;2020-11-05T19:26:33;2020-11-05T00:09:38;Intelligent Plastic Salad Awesome;12895
