id;nombre;tipo;descripcion
1;Berkshire;MAQUINA;optimize SSL
2;Cotton;OTRO;Handmade violet
3;primary complexity;OTRO;Strategist Licensed Wooden Towels Ameliorated
4;Avon cross-platform Principal;OTRO;Legacy Yemeni Rial Mozambique
5;Fresh;OTRO;Awesome Cotton Chicken Nuevo Sol
6;internet solution;MAQUINA;actuating Executive
7;Guyana Dollar Well;OTRO;Identity Fish bypassing
8;Serbian Dinar Money Market Account;VEHICULO;interface Fresh Mouse
9;payment;OTRO;Illinois
10;Toys Internal SDD;MAQUINA;withdrawal
