id;departamento;calle;numero;descripcion
1;GENERAL;Analyst Branding collaborative;90298;override
2;MARTIN;Cuban Peso Peso Convertible;21197;HDD
3;LA;Street;62894;navigate
4;CUYO;Accountability;58785;payment
5;TUPUNGATO;reintermediate;63948;Response haptic orchid
6;LUJAN;impactful invoice;64324;cross-platform payment
7;LAVALLE;Prairie;15896;Savings Account programming Factors
8;ROSA;Mouse Sports;87529;cultivate cross-media Representative
9;HERAS;Fundamental;50334;invoice reinvent
10;PAZ;vortals bypassing Uganda Shilling;66274;Handmade
